id,cpmk,kode,matkul,semester,sks,deskripsi_cpmk,kode_cpmk,grouped
19,CPMK41,ST019,Sistem Operasi,2,4,Mahasiswa mampu menerapkan teknik pengolahan data untuk menyelesaikan masalah,CPMK41,grouped
20,CPMK15,ST021,Pemrograman,2,2,Mahasiswa mampu menganalisis perangkat lunak pada berbagai platform digital,CPMK15,
21,CPMK35,ST021,Pemrograman,2,2,Mahasiswa Mampu menerapkan metode analisis sistem.,CPMK35,
22,CPMK36,ST021,Pemrograman,2,2,mahasiswa mampu menerapkan metode perancangan sistem,CPMK36,
23,CPMK37,ST021,Pemrograman,2,2,Mahasiswa mampu menerapkan metode perancangan perangkat lunak.,CPMK37,grouped
24,CPMK33,ST029,Komputer Grafis,2,2,mahasiswa mampu menerapkan prinsip prinsip multimedia pada produk digital,CPMK33,
25,CPMK45,ST029,Komputer Grafis,2,2,mahasiswa mampu menguraikan prinsip-prinsip multimedia,CPMK45,
26,CPMK46,ST029,Komputer Grafis,2,2,Mahasiswa mampu menguraikan komponen multimedia;,CPMK46,
27,CPMK47,ST029,Komputer Grafis,2,2,Mahasiswa mampu menjelaskan jenis-jenis produk digital,CPMK47,grouped
28,CPMK02,ST160,Hardware/Software I,2,2,Mahasiswa memiliki sikap saling menghargai dengan menjalin kerja sama dengan individu yang memiliki latar belakang sosial dan budaya yang beragam (carring culture),CPMK02,
29,CPMK40,ST160,Hardware/Software I,2,2,Mahasiswa mampu menerapkan teknik analisis data,CPMK40,
30,CPMK43,ST160,Hardware/Software I,2,2,Mahasiswa mampu mengidentifikasi komponen dan perangkat yang dibutuhkan untuk membangun jaringan komputer,CPMK43,grouped
31,CPMK27,ST037,Jaringan Komputer II,4,4,Mahasiswa mampu menganalisis fungsi dari komponen yang berkaitan dengan jaringan komputer;,CPMK27,
32,CPMK28,ST037,Jaringan Komputer II,4,4,Mahasiswa mampu mengkonfigurasi sistem jaringan komputer sesuai kebutuhan pengguna,CPMK28,
33,CPMK42,ST037,Jaringan Komputer II,4,4,Mahasiswa mampu menjelaskan tentang metodologi dalam membangun jaringan komputer,CPMK42,grouped
34,CPMK03,ST045,Kecerdasan Buatan,4,2,Mahasiswa memiliki sikap tanggung jawab dengan membangun integritas profesional yang berkomitmen terhadap nilai-nilai etika;,CPMK03,
35,CPMK21,ST045,Kecerdasan Buatan,4,2,Mahasiswa mampu menerapkan metode analisis data;,CPMK21,
36,CPMK22,ST045,Kecerdasan Buatan,4,2,Mahasiswa mampu menerapkan metode pengolahan data;,CPMK22,
37,CPMK35,ST045,Kecerdasan Buatan,4,2,Mahasiswa Mampu menerapkan metode analisis sistem.,CPMK35,grouped
38,CPMK16,ST084,Pemrograman Web,4,4,Mahasiswa mampu merancang perangkat lunak pada berbagai platform digital,CPMK16,
39,CPMK18,ST084,Pemrograman Web,4,4,Mahasisiwa mampu menganalisis kebutuhan industri atau masyakarat,CPMK18,
40,CPMK37,ST084,Pemrograman Web,4,4,Mahasiswa mampu menerapkan metode perancangan perangkat lunak.,CPMK37,
